playerID,name,year,loc,numgames,totalwinnings,state,studentflag,lat,lon
1281,Mario Zaragoza,1996,"Chicago, Illinois",1,4600,illinois,,41.8755546,-87.6244212
1578,Kenny Schlax,2006,"Deerfield, Illinois",1,1199,illinois,TRUE,42.1711365,-87.8445119
8054,Jessica Lee,2012,"Evanston, Illinois",1,3900,illinois,,42.0447388,-87.6930459
5993,Benny Meyers,2009,"Skokie, Illinois",1,9000,illinois,,42.0333694,-87.7333972
4677,Hunter Brown,2008,"Wheaton, Illinois",2,59998,illinois,TRUE,41.8639233,-88.1129507
6783,Sarah Sumadi,2010,"Chicago, Illinois",1,4799,illinois,,41.8755546,-87.6244212
3521,Ben Bass,2002,"Chicago, Illinois",4,92804,illinois,,41.8755546,-87.6244212
3528,Julie Moncrieff,2002,"Chicago, Illinois",3,0,illinois,,41.8755546,-87.6244212
2150,John Perez,2006,"Chicago, Illinois",1,14000,illinois,,41.8755546,-87.6244212
2699,Mick Malicki,1997,"La Grange Park, Illinois",1,300,illinois,,41.8333646,-87.8677324
2691,Eileen Davenport,1997,"Chicago, Illinois",1,2500,illinois,,41.8755546,-87.6244212
8530,Lance Lawson,1987,"Moline, Illinois",1,2200,illinois,,41.5067003,-90.5151342
4284,Clare Willis,2007,"Chicago, Illinois",1,500,illinois,,41.8755546,-87.6244212
4757,Ben Hunt,2008,"Chicago, Illinois",1,16399,illinois,,41.8755546,-87.6244212
5873,Dan Smith,2009,"Chicago, Illinois",4,134404,illinois,,41.8755546,-87.6244212
5871,Lizz Mullowney,2003,"Crystal Lake, Illinois",1,300,illinois,TRUE,42.2411344,-88.3161965
4637,Erin Weller,1999,"Evanston, Illinois",2,11600,illinois,,42.0447388,-87.6930459
2199,Mike Rohan,2001,"Orland Park, Illinois",1,16700,illinois,,41.6303103,-87.8539425
2040,Ellen Rourke,2001,"Chicago, Illinois",2,3202,illinois,,41.8755546,-87.6244212
6194,Nina Ginocchio,2009,"Park Ridge, Illinois",4,76800,illinois,,42.0111412,-87.8406192
6198,Mike Scott,2002,"Lake Villa, Illinois",1,18000,illinois,TRUE,42.4169651,-88.0739708
2732,Robin Hoffmann,1988,"Peoria, Illinois",1,5,illinois,,40.6938609,-89.5891008
7204,Kate Rowland,2011,"Chicago, Illinois",2,32802,illinois,,41.8755546,-87.6244212
1551,Barb Fuson,1997,"Decatur, Illinois",1,3800,illinois,,39.8628075,-88.89387182
3033,Jared Thompson,2006,"Eureka, Illinois",3,61500,illinois,,40.721423,-89.2728596
8707,Andrew Mugica,2013,"Libertyville, Illinois",1,0,illinois,,42.2830786,-87.9531303
5608,Jillian Rebmann,2008,"Peoria, Illinois",1,2742,illinois,,40.6938609,-89.5891008
